,NUMERO_EKOGUI,ID_ENTIDAD,PROBA_FAVORABLE,CATEGORIA_PREDICCION
423974,594760,405,0.1223021583,DESFAVORABLE
603368,91873,124,0.277486911,DESFAVORABLE
355187,491361,405,0.1223021583,DESFAVORABLE
564784,85480,124,0.277486911,DESFAVORABLE
486003,697801,389,0.8177339901,FAVORABLE
567081,859478,415,0.6521400778,FAVORABLE
166249,18115,405,0.1223021583,DESFAVORABLE
573143,87242,124,0.277486911,DESFAVORABLE
316041,421892,356,0.4208037825,DESFAVORABLE
393576,546222,405,0.1223021583,DESFAVORABLE
117592,1317125,356,0.2981651376,DESFAVORABLE
415575,582046,356,0.4208037825,DESFAVORABLE
342985,471311,405,0.1223021583,DESFAVORABLE
170112,186983,147,0.9622641509,FAVORABLE
439214,618812,114,0.2547425474,DESFAVORABLE
119882,132569,157,0.6521400778,FAVORABLE
435461,614956,1677,0.6521400778,FAVORABLE
329689,447505,356,0.4208037825,DESFAVORABLE
443273,623526,405,0.3390342052,DESFAVORABLE
381097,533513,405,0.1223021583,DESFAVORABLE
298571,389816,405,0.1223021583,DESFAVORABLE
370505,51776,405,0.1223021583,DESFAVORABLE
352239,486390,433,0.357827476,DESFAVORABLE
600390,915033,405,0.3390342052,DESFAVORABLE
493485,711588,356,0.6363636364,FAVORABLE
395541,549006,405,0.1223021583,DESFAVORABLE
129448,1369338,405,0.3390342052,DESFAVORABLE
240978,27563,405,0.3390342052,DESFAVORABLE
548136,821787,147,0.8177339901,FAVORABLE
533768,793274,157,0.8177339901,FAVORABLE
581918,889104,124,0.277486911,DESFAVORABLE
239341,273659,63,0.8177339901,FAVORABLE
199038,212847,356,0.2981651376,DESFAVORABLE
133097,1385180,405,0.1223021583,DESFAVORABLE
199138,212934,356,0.2981651376,DESFAVORABLE
345113,474864,433,0.357827476,DESFAVORABLE
205698,224716,346,0.6521400778,FAVORABLE
318430,426100,115,0.3647058824,DESFAVORABLE
392498,545114,405,0.3846153846,DESFAVORABLE
622751,950765,405,0.1223021583,DESFAVORABLE
320737,430589,405,0.1223021583,DESFAVORABLE
356894,494323,405,0.1223021583,DESFAVORABLE
158837,172760,114,0.1785714286,DESFAVORABLE
283599,359868,63,0.6521400778,FAVORABLE
490799,706801,125,0.6521400778,FAVORABLE
565962,857048,405,0.1223021583,DESFAVORABLE
339627,465421,174,0.6521400778,FAVORABLE
146906,159280,78,0.8177339901,FAVORABLE
183186,201781,356,0.2981651376,DESFAVORABLE
403404,564011,405,0.1223021583,DESFAVORABLE
411280,576107,125,0.6521400778,FAVORABLE
487516,700501,115,0.3647058824,DESFAVORABLE
45050,110441,355,0.8177339901,FAVORABLE
190859,2052583,356,0.2981651376,DESFAVORABLE
323796,436364,426,0.6521400778,FAVORABLE
157526,171464,114,0.2547425474,DESFAVORABLE
385647,538195,405,0.1223021583,DESFAVORABLE
41735,1096135,405,0.1223021583,DESFAVORABLE
270392,336041,387,0.6521400778,FAVORABLE
516111,755572,356,0.2981651376,DESFAVORABLE
600900,915566,405,0.3390342052,DESFAVORABLE
490970,707089,405,0.1223021583,DESFAVORABLE
454303,636218,158,0.6521400778,FAVORABLE
283213,359229,405,0.3390342052,DESFAVORABLE
39147,1090237,124,0.277486911,DESFAVORABLE
422414,593149,405,0.1223021583,DESFAVORABLE
255639,310257,169,0.6521400778,FAVORABLE
571938,869925,433,0.357827476,DESFAVORABLE
184408,2023756,55,0.8177339901,FAVORABLE
418900,588315,405,0.1223021583,DESFAVORABLE
328769,44586,405,0.1223021583,DESFAVORABLE
79070,1197045,405,0.1223021583,DESFAVORABLE
185770,2030067,219,0.8177339901,FAVORABLE
221,1000556,124,0.277486911,DESFAVORABLE
215881,240516,405,0.1223021583,DESFAVORABLE
324170,437147,405,0.3390342052,DESFAVORABLE
613276,930405,405,0.1223021583,DESFAVORABLE
474023,673798,405,0.1223021583,DESFAVORABLE
171853,189590,175,0.8177339901,FAVORABLE
174157,192960,199,0.6521400778,FAVORABLE
282710,358248,368,0.6521400778,FAVORABLE
152889,166871,115,0.3647058824,DESFAVORABLE
506792,735708,405,0.1223021583,DESFAVORABLE
411654,576511,125,0.6521400778,FAVORABLE
122243,1334649,356,0.2981651376,DESFAVORABLE
254582,308300,405,0.1223021583,DESFAVORABLE
428072,601272,356,0.2981651376,DESFAVORABLE
581042,887466,356,0.2981651376,DESFAVORABLE
393483,546128,405,0.1223021583,DESFAVORABLE
257072,312898,174,0.6521400778,FAVORABLE
35547,108223,401,0.8177339901,FAVORABLE
277479,348391,405,0.1223021583,DESFAVORABLE
211702,233243,134,0.8177339901,FAVORABLE
91443,1226289,433,0.6574074074,FAVORABLE
299430,391669,356,0.2981651376,DESFAVORABLE
636407,984505,405,0.3390342052,DESFAVORABLE
322133,43330,348,0.6521400778,FAVORABLE
131421,1378345,405,0.1223021583,DESFAVORABLE
233706,264734,220,0.224137931,DESFAVORABLE
62350,1149471,356,0.2981651376,DESFAVORABLE
639723,992792,1702,0.6521400778,FAVORABLE
304764,401726,356,0.2981651376,DESFAVORABLE
512047,747079,426,0.6521400778,FAVORABLE
191535,205574,356,0.2981651376,DESFAVORABLE
500694,724620,242,0.8177339901,FAVORABLE
157284,171226,114,0.2547425474,DESFAVORABLE
534158,793981,356,0.2981651376,DESFAVORABLE
508574,739616,405,0.3390342052,DESFAVORABLE
316877,423435,114,0.29,DESFAVORABLE
290470,373023,379,0.6521400778,FAVORABLE
39108,109013,1677,0.8177339901,FAVORABLE
387461,540066,405,0.1223021583,DESFAVORABLE
490623,706422,356,0.2981651376,DESFAVORABLE
558137,841813,309,0.6521400778,FAVORABLE
